sample_name,sample_cohort,Species_labelled,Location,Stage,sample_timing,kraken_bacteria,kraken_fungi,kraken_unclassified,Number_reads,Mh_genome_mapping,coverage_Mh_scaffold_1,meandepth_Mh_scaffold_1,data_concerns
Fortrose_21,2,M. hyperodae,Fortrose,Pupa,contemporary,0.89,0.14,82.15,12769945,93.23,92.6208,11.4738,
Fortrose_22,2,M. hyperodae,Fortrose,Pupa,contemporary,1.81,0.17,88.96,32153878,96.28,98.3724,31.3237,
Fortrose_23,2,M. hyperodae,Fortrose,Pupa,contemporary,1.51,0.14,90.58,46156672,95.41,98.3985,47.152,
Fortrose_24,2,M. hyperodae,Fortrose,Pupa,contemporary,1.67,0.16,87.85,16996199,95.26,97.8578,17.6984,
Fortrose_26,2,M. hyperodae,Fortrose,Pupa,contemporary,3.83,0.15,83.81,15359664,93.2,97.9226,16.2931,
Fortrose_3,2,M. hyperodae,Fortrose,Pupa,contemporary,1.3,0.14,90.69,32505535,95.75,97.5733,32.5147,
Fortrose_4,2,M. hyperodae,Fortrose,Pupa,contemporary,1.36,0.16,91.25,25217679,94.99,97.9106,23.8389,
Fortrose_5,2,M. hyperodae,Fortrose,Pupa,contemporary,1.98,0.19,91.26,16750829,95.72,97.1744,14.517,
Fortrose_6,2,M. hyperodae,Fortrose,Pupa,contemporary,1.46,0.15,88.54,17781133,94.67,98.0024,18.3573,
Fortrose_7,2,M. hyperodae,Fortrose,Pupa,contemporary,1.47,0.16,91.64,23606874,95.82,97.9421,21.6839,
Fortrose_8,2,M. hyperodae,Fortrose,Pupa,contemporary,1.61,0.15,88.05,28100515,95.46,98.3664,28.87,
Fortrose_9,2,M. hyperodae,Fortrose,Pupa,contemporary,2.09,0.19,85.55,20978742,96.24,98.1647,20.7342,
Hawkes_Bay_New_Zealand_1996_1,2,M. hyperodae,HawkesBay,need to check,historic,1.82,0.15,87.19,22369418,93.51,98.1768,21.5628,
Hawkes_Bay_New_Zealand_1996_2,2,M. hyperodae,HawkesBay,need to check,historic,2.08,0.15,86.63,17986751,93.67,98.1469,17.1388,
Hawkes_Bay_New_Zealand_1996_3,2,M. hyperodae,HawkesBay,need to check,historic,1.86,0.15,88.02,23680172,93.89,98.0799,22.2158,
Hawkes_Bay_New_Zealand_1996_4,2,M. hyperodae,HawkesBay,need to check,historic,2,0.15,85.62,31275015,92.75,98.3851,30.4789,
indiv11_mhyp_lincoln,1,M. hyperodae,Lincoln,Pupa,contemporary,1.2,0.14,94.68,44322400,92.1,98.0961,24.4182,
indiv12_mhyp_lincoln,1,M. hyperodae,Lincoln,Pupa,contemporary,1.02,0.11,95.4,43335462,91.36,94.4503,22.3389,
indiv14_mhyp_lincoln,1,M. hyperodae,Lincoln,Pupa,contemporary,1.24,0.11,95.51,27237049,89.98,95.9495,13.4761,
indiv28_mhyp_lincoln,1,M. hyperodae,Lincoln,Pupa,contemporary,1.01,0.12,95.24,25904913,90.83,86.3625,13.7098,
indiv29_mhyp_lincoln,1,M. hyperodae,Lincoln,Pupa,contemporary,1.4,0.11,93.89,20580175,90.98,94.6959,11.1775,
indiv3_mhyp_lincoln,1,M. hyperodae,Lincoln,Adult,contemporary,1.58,0.2,91.64,10872273,94.77,92.6743,8.3456,
indiv34_mhyp_lincoln,1,M. hyperodae,Lincoln,Larva,contemporary,4.1,0.21,81.89,13968424,97.79,95.3857,10.9315,
indiv35_mhyp_lincoln,1,M. hyperodae,Lincoln,Larva,contemporary,3.6,0.2,85.76,11073672,97.36,95.1435,7.56014,
indiv38_mhyp_ruakura,1,M. hyperodae,Ruakura,Adult,contemporary,3.25,0.21,85.75,6785100,97.36,91.5132,5.65434,
indiv39_mhyp_lincoln,1,M. hyperodae,Lincoln,Adult,contemporary,3.48,0.2,85.5,10887201,97.4,90.9093,7.09036,
indiv40_mhyp_lincoln,1,M. hyperodae,Lincoln,Adult,contemporary,3.06,0.15,87.97,9452120,96.78,81.2001,4.40642,
indiv42_mhyp_lincoln,1,M. hyperodae,Lincoln,Pupa,contemporary,3.88,0.17,86.71,22096310,97.19,97.3589,11.7215,
indiv43_mhyp_lincoln,1,M. hyperodae,Lincoln,Pupa,contemporary,3.23,0.2,85.33,6615543,97.31,90.4455,4.71927,
indiv45_mhyp_ruakura,1,M. hyperodae,Ruakura,Adult,contemporary,2.46,0.19,87.21,7327389,94.83,96.2048,6.56219,
indiv47_mhyp_ruakura,1,M. hyperodae,Ruakura,Adult,contemporary,2.27,0.18,86.99,8653423,95.12,97.4692,8.01783,
indiv48_mhyp_lincoln,1,M. hyperodae,Lincoln,Pupa,contemporary,2.08,0.09,91.3,13826842,92.24,78.1771,5.21724,
indiv50_mhyp_lincoln,1,M. hyperodae,Lincoln,Adult,contemporary,2.77,0.18,89.29,17519097,96.63,97.6448,10.8157,
indiv51_mhyp_lincoln,1,M. hyperodae,Lincoln,Larva,contemporary,3.1,0.19,86.52,10873624,97.06,96.2355,8.4159,
indiv52_mhyp_lincoln,1,M. hyperodae,Lincoln,Larva,contemporary,3.3,0.19,84.89,39796108,97.52,97.8714,29.2865,
indiv53_mhyp_lincoln,1,M. hyperodae,Lincoln,Pupa,contemporary,2.52,0.11,90.17,11225040,93.96,80.4211,4.89957,
indiv54_mhyp_lincoln,1,M. hyperodae,Lincoln,Larva,contemporary,3.66,0.2,85.14,10528214,96.34,96.0434,8.54523,
indiv55_mhyp_lincoln,1,M. hyperodae,Lincoln,Pupa,contemporary,1.51,0.13,93.81,18052199,92.94,95.8396,9.38704,
indiv57_mhyp_lincoln,1,M. hyperodae,Lincoln,Pupa,contemporary,2.51,0.16,89.98,18475597,96.89,97.6589,11.0201,
indiv58_mhyp_lincoln,1,M. hyperodae,Lincoln,Pupa,contemporary,2.19,0.16,92.74,18542043,92.79,96.796,10.6046,
indiv59_mhyp_lincoln,1,M. hyperodae,Lincoln,Larva,contemporary,2.32,0.16,90.76,18528356,95.85,97.923,11.7982,
indiv61_mhyp_lincoln,1,M. hyperodae,Lincoln,Larva,contemporary,3.09,0.18,86.73,18543496,97.14,97.973,13.5833,
indiv65_mhyp_lincoln,1,M. hyperodae,Lincoln,Adult,contemporary,1.44,0.15,93.96,18716317,93.81,94.811,9.89083,
indiv67_mhyp_lincoln,1,M. hyperodae,Lincoln,Larva,contemporary,2.01,0.16,91.32,20867074,95.72,97.8646,12.5407,
indiv72_mhyp_lincoln,1,M. hyperodae,Lincoln,Pupa,contemporary,1.4,0.11,94.64,34494226,92.99,97.8747,14.8091,
indiv73_mhyp_ruakura,1,M. hyperodae,Ruakura,Adult,contemporary,2.6,0.19,87.18,9886391,96.25,97.42,8.40975,
indiv77_mhyp_lincoln,1,M. hyperodae,Lincoln,Larva,contemporary,2.95,0.19,87,15214648,96.48,97.9314,11.9367,
indiv78_mhyp_lincoln,1,M. hyperodae,Lincoln,Larva,contemporary,1.92,0.15,91.76,24471276,95.49,98.0547,15.1631,
indiv83_mhyp_lincoln,1,M. hyperodae,Lincoln,Pupa,contemporary,4.34,0.14,91.56,42608297,87.01,98.2665,23.8103,
indiv84_mhyp_lincoln,1,M. hyperodae,Lincoln,Pupa,contemporary,1.53,0.13,94.1,39801834,92.45,96.331,20.7784,
indiv85_mhyp_lincoln,1,M. hyperodae,Lincoln,Larva,contemporary,2.76,0.2,87.9,12205954,95.89,97.2467,9.01651,
La_Serena_Chile_1998_1,2,M. hyperodae,LaSerena,need to check,historic,1.82,0.14,85.42,22133892,91.59,97.8723,19.5162,
La_Serena_Chile_1998_2,2,M. hyperodae,LaSerena,need to check,historic,1.39,0.15,88.7,36344703,91.99,97.8459,33.8471,
Lincoln_10,2,M. hyperodae,Lincoln,Pupa,contemporary,1.57,0.17,87.65,16601235,94.76,98.0289,17.3529,
Lincoln_11,2,M. hyperodae,Lincoln,Pupa,contemporary,1.48,0.15,89.81,23811479,95.58,98.0692,24.2506,
Lincoln_12,2,M. hyperodae,Lincoln,Pupa,contemporary,2.98,0.15,88.26,46755864,92.88,98.3923,46.5638,
Lincoln_13,2,M. hyperodae,Lincoln,Pupa,contemporary,1.54,0.17,87.76,15155736,94.51,97.8748,15.3697,
Lincoln_14,2,M. hyperodae,Lincoln,Pupa,contemporary,1.47,0.19,91.96,18751470,95.63,97.1459,16.2655,
Lincoln_15,2,M. hyperodae,Lincoln,Pupa,contemporary,1.53,0.17,88.35,18010580,95.69,94.5636,14.9523,
Lincoln_16,2,M. hyperodae,Lincoln,Pupa,contemporary,1.52,0.17,90.49,32263179,95.6,98.2028,31.6838,
Lincoln_2,2,M. hyperodae,Lincoln,Pupa,contemporary,1.47,0.14,87.54,16170517,94.87,97.7977,16.9667,
Lincoln_4,2,M. hyperodae,Lincoln,Pupa,contemporary,1.58,0.16,87.53,16345445,94.78,98.0296,17.0649,
Lincoln_5,2,M. hyperodae,Lincoln,Pupa,contemporary,1.57,0.16,90.51,23418170,95.95,97.9909,22.487,
Lincoln_6,2,M. hyperodae,Lincoln,Pupa,contemporary,1.63,0.15,87.41,14288240,94.79,97.8181,14.8949,
Lincoln_7,2,M. hyperodae,Lincoln,Pupa,contemporary,1.6,0.15,87.4,14941043,94.84,97.8703,15.7414,
Lincoln_9,2,M. hyperodae,Lincoln,Pupa,contemporary,2.09,0.15,86.79,14223133,94.33,97.7294,14.9943,
Mararoa_1,2,M. hyperodae,Mararoa,Pupa,contemporary,0.78,0.13,88.16,28326871,93.12,94.6275,26.7384,
Mendoza_Argentina_1996_1,2,M. hyperodae,Mendoza,need to check,historic,1.84,0.13,84.57,25222780,90.07,95.4455,22.0409,
Mendoza_Argentina_1996_2,2,M. hyperodae,Mendoza,need to check,historic,2.3,0.14,76.39,25158145,87.86,97.7683,20.8812,
Mossburn_1,2,M. hyperodae,Mossburn,Pupa,contemporary,1.2,0.16,87.91,19532528,77.54,85.4579,15.7209,
Mossburn_10,2,M. hyperodae,Mossburn,Pupa,contemporary,1.41,0.16,91.69,25184492,95.78,97.7044,25.0962,
Mossburn_11,2,M. hyperodae,Mossburn,Pupa,contemporary,1.65,0.17,91.35,13637801,94.52,94.5405,12.5258,
Mossburn_12,2,M. hyperodae,Mossburn,Pupa,contemporary,1.45,0.17,89.73,12855443,80.55,79.047,10.2611,
Mossburn_13,2,M. hyperodae,Mossburn,Pupa,contemporary,1.6,0.17,89.68,19220076,82.19,82.8129,15.2867,
Mossburn_14,2,M. hyperodae,Mossburn,Pupa,contemporary,1.78,0.18,86.64,33263445,81.33,84.6816,26.3543,
Mossburn_15,2,M. hyperodae,Mossburn,Pupa,contemporary,1.68,0.19,86.92,20836085,80.94,80.2425,16.0826,
Mossburn_16,2,M. hyperodae,Mossburn,Pupa,contemporary,1.66,0.17,87.97,19666892,94.85,97.1439,19.2122,
Mossburn_17,2,M. hyperodae,Mossburn,Pupa,contemporary,1.76,0.18,91.66,50406444,95.05,98.1785,46.055,
Mossburn_18,2,M. hyperodae,Mossburn,Pupa,contemporary,2.87,0.15,90.68,22797086,92.82,96.821,19.8227,
Mossburn_2,2,M. hyperodae,Mossburn,Pupa,contemporary,1.95,0.16,91.3,24401255,94.93,97.4806,21.1339,
Mossburn_20,2,M. hyperodae,Mossburn,Pupa,contemporary,1.5,0.16,91.37,19622382,95.82,98.0558,18.8141,
Mossburn_21,2,M. hyperodae,Mossburn,Pupa,contemporary,1.79,0.15,91,17693316,93.96,97.8235,16.6993,
Mossburn_22,2,M. hyperodae,Mossburn,Pupa,contemporary,4.11,0.15,88.02,30624644,91.89,98.2599,27.7565,
