sample_name,sample_cohort,Species_labelled,Location,Stage,sample_timing,kraken_bacteria,kraken_fungi,kraken_unclassified,Number_reads,Mh_genome_mapping,coverage_Mh_scaffold_1,meandepth_Mh_scaffold_1,data_concerns
South_Chile_Chile_1997_5,2,M. hyperodae,SouthChile,need to check,historic,1.75,0.18,89.37,24075982,95.49,98.1557,24.1745,
South_Chile_Chile_1997_6,2,M. hyperodae,SouthChile,need to check,historic,1.84,0.18,89.87,24650288,95.9,98.212,24.7476,
South_Chile_Chile_1997_7,2,M. hyperodae,SouthChile,need to check,historic,1.86,0.17,88.66,26503586,95.63,98.2793,27.8215,
South_Chile_Chile_1997_8,2,M. hyperodae,SouthChile,need to check,historic,1.11,0.12,90.95,24983941,93.34,95.5002,23.055,
South_Chile_Chile_1997_9,2,M. hyperodae,SouthChile,need to check,historic,1.29,0.14,92.87,24266237,94.89,95.0903,21.5482,
Uruguay_Uruguay_1996_1,2,M. hyperodae,Uruguay,need to check,historic,3.15,0.14,80.18,19204223,85.13,93.6304,12.5121,
Uruguay_Uruguay_1996_2,2,M. hyperodae,Uruguay,need to check,historic,2.37,0.14,81.06,37082545,91.1,98.3766,32.7392,
Uruguay_Uruguay_1996_3,2,M. hyperodae,Uruguay,need to check,historic,2.19,0.16,83.24,32186017,91.4,98.3871,31.0551,
Uruguay_Uruguay_1996_4,2,M. hyperodae,Uruguay,need to check,historic,1.9,0.13,86.44,25190908,89.51,95.3426,21.3054,
Uruguay_Uruguay_1996_5,2,M. hyperodae,Uruguay,need to check,historic,1.96,0.13,82.48,36977179,90.84,98.3743,36.8737,
Uruguay_Uruguay_1997_2,2,M. hyperodae,Uruguay,need to check,historic,1.64,0.15,89.5,25395675,95.72,98.2493,25.9322,
Uruguay_Uruguay_1997_3,2,M. hyperodae,Uruguay,need to check,historic,1.5,0.14,89.82,26419228,95.32,98.1311,26.1053,
Uruguay_Uruguay_1997_4,2,M. hyperodae,Uruguay,need to check,historic,2.24,0.18,89.39,17676321,96.87,98.1669,17.306,
Uruguay_Uruguay_1997_5,2,M. hyperodae,Uruguay,need to check,historic,1.96,0.18,89.31,28889277,95.75,98.3781,26.7759,
Uruguay_Uruguay_1997_6,2,M. hyperodae,Uruguay,need to check,historic,1.51,0.15,90.69,23236982,95.49,97.8045,23.1691,
Uruguay_Uruguay_1997_7,2,M. hyperodae,Uruguay,need to check,historic,2.08,0.17,88.11,22207642,96.25,98.3098,23.5767,
West_coast_site_1_1,2,M. hyperodae,WestCoastSite1,Pupa,contemporary,1.05,0.14,89.83,29390055,94.45,97.4659,28.7515,
West_coast_site_2_31,2,M. hyperodae,WestCoastSite2,Pupa,contemporary,1.71,0.63,91.31,21776163,92.53,93.0588,19.6141,
West_coast_site_2_32,2,M. hyperodae,WestCoastSite2,Pupa,contemporary,1.24,0.21,87.37,34257607,93.23,96.0986,32.866,
West_coast_site_2_33,2,M. hyperodae,WestCoastSite2,Pupa,contemporary,1.2,0.16,85.37,26035066,93.52,96.9624,27.7109,
indiv27_maethm_lincoln,1,M. aethiopoides Moroccan,Lincoln,Pupa,contemporary,1.2,0.15,94.29,18579920,73.66,78.0482,8.11491,
indiv37_maethm_lincoln,1,M. aethiopoides Moroccan,Lincoln,Pupa,contemporary,2.02,0.19,90.04,17160611,82.95,79.8582,8.27737,
indiv4_maethm_lincoln,1,M. aethiopoides Moroccan,Lincoln,Pupa,contemporary,1.42,0.17,94.24,47262584,75.27,79.6366,21.2215,
indiv41_maethm_lincoln,1,M. aethiopoides Moroccan,Lincoln,Pupa,contemporary,1.86,0.18,91.66,16194091,81.51,79.4543,7.86151,
indiv44_maethm_lincoln,1,M. aethiopoides Moroccan,Lincoln,Pupa,contemporary,1.57,0.17,92.94,36880165,80.73,80.3374,17.9179,
indiv68_maethm_lincoln,1,M. aethiopoides Moroccan,Lincoln,Pupa,contemporary,1.34,0.15,93.62,39170839,72.99,79.1126,14.4154,
indiv69_maethm_lincoln,1,M. aethiopoides Moroccan,Lincoln,Pupa,contemporary,1.34,0.15,93.59,64123935,78.71,85.7097,28.0642,
indiv76_maethm_lincoln,1,M. aethiopoides Moroccan,Lincoln,Pupa,contemporary,1.49,0.16,93.23,61783860,79.47,83.3001,28.1039,
indiv87_maethm_lincoln,1,M. aethiopoides Moroccan,Lincoln,Pupa,contemporary,1.45,0.16,93.49,19158838,79.92,79.391,9.31041,
indiv88_maethm_lincoln,1,M. aethiopoides Moroccan,Lincoln,Pupa,contemporary,1.38,0.15,93.65,14535906,78.6,75.7831,6.40774,
