 61G_MF_10_S15 37374	2975211	50064	4435306	12468	396410	1613	0.134488	10183683
 61G_MF_13_S20 39059	2661242	83360	8485409	18373	563209	1324	0.213519	5373958
 61G_MF_19_S5 38350	824770	3974	9838032	19862	62285	158	0.08557	5194071
 61G_MF_5_S1 29948	2166514	43754	3815966	8845	234172	1121	0.109372	9324326
 61G_MF_8_S12 36177	3125610	62259	4650067	13260	440987	1728	0.142385	10040350
 63C_MF_10_S10 14118	1041716	7369	7308332	9097	56668	304	0.05837	9270485
 63C_MF_11_S22 14781	1009911	4335	9378633	13079	37866	189	0.04365	13191275
 63C_MF_12_S19 50511	3902684	72059	4559279	23603	950102	1999	0.244888	6663017
 63C_MF_16_S18 24535	4191721	87118	3026417	7794	532506	2098	0.127594	15118457
 63C_MF_18_S17 42453	3386220	71153	2662133	14453	497200	1701	0.148037	10400937
 63C_MF_6_S6 19091	1293516	727	10791343	18352	59502	194	0.052705	13667168
 63C_MF_7_S7 19922	1135469	747	9570740	18792	48843	168	0.050845	12858740
 63C_MF_8_S8 26666	1265380	1848	11194294	25112	56201	179	0.05377	13861729
 63C_MF_9_S9 15580	1024098	4426	10085450	11731	47386	264	0.051606	10778613
 A10_S10 14686	440190	1575	3689756	6231	12113	102	0.034028	7915129
 A11_S11 159692	4648824	39738	4334862	102272	92054	1685	0.030281	117933209
 A12_S12 54594	7783869	104363	1234150	12720	141010	2182	0.018867	215490678
 A1_S1 68867	12333197	192773	1083921	28545	264567	4721	0.022546	288340137
 A2_S2 177180	6445551	64592	3786772	152346	178057	2391	0.038908	116004999
 A3_S3 86937	3789770	45312	922195	29536	59374	1423	0.019342	122559039
 A4_S4 85989	4011696	45310	876091	25288	79859	1452	0.022814	101213831
 A5_S5 156200	10397292	139543	432604	36940	182249	3780	0.019161	299169342
 A6_S6 73216	4961309	65227	337238	11853	81661	1962	0.017525	152642488
 A7_S7 94477	11723803	147211	6113339	44434	245202	4189	0.022718	281021715
 A8_S8 98565	5929316	79796	518121	18082	104401	2635	0.018975	170598709
 A9_S9 604076	8337067	54710	12664576	565726	979068	2233	0.146072	32722211
 B10_S22 126061	4401802	29545	1171995	31336	77167	1267	0.020792	126096147
 B11_S23 93084	4077412	29721	253862	13215	65068	1326	0.01738	128963712
 B12_S24 28740	6070840	54924	1070024	6772	130687	2376	0.022033	141473858
 B1_S13 104186	7279165	56369	3278612	25045	149841	2601	0.022147	177369196
 B2_S14 46254	3554184	35350	1064866	7861	53938	1211	0.016177	118520056
 B3_S15 53909	3336462	27705	334289	8519	49918	1420	0.016108	113555334
 B4_S16 204910	16342571	91307	688954	65355	401074	4605	0.026376	331164739
 B5_S17 12487	3699820	24401	52729	2219	66424	1403	0.018222	103947167
 B6_S18 95210	6714097	46031	361256	18732	111318	2721	0.017848	205140822
 B7_S19 58005	3689795	40051	3586141	13969	59945	1250	0.017998	114666030
 B8_S20 126695	5216192	97304	2773443	51555	92291	1953	0.022363	148737761
 B9_S21 161920	7227796	96842	8508794	74858	215537	2606	0.034611	120162417
 C1_S25 33535	8315828	76333	2026087	10074	175620	3259	0.021681	197667367
 C2_S26 51285	6502759	51779	779653	18406	142177	2892	0.023188	149486787
 C3_S27 411654	26852096	796564	24567526	206294	1610159	10502	0.06332	216156506
 C4_S28 32039	2009824	13904	2796483	7921	32965	733	0.018227	61944013
 C5_S29 75879	4312833	36781	3358971	17648	93337	1641	0.023481	99905587
 II_AF_S3 51555	4897687	51291	962009	11118	213520	2651	0.044497	55172118
 III_AF_S2 52058	3966137	58027	1367826	9812	135341	1665	0.035131	57458754
 III_MF_10_S16 35771	3036719	60352	4535625	13135	471770	1099	0.156596	8748767
 III_MF_5_S21 40428	3419682	81252	3697220	14265	472873	1293	0.139541	11221821
 III_MF_7_S4 18176	3511447	66027	2255588	4757	323472	1598	0.092557	17947668
 III_MF_8_S13 41314	3684330	72071	3224630	14995	591893	1548	0.161779	10223716
 III_MF_9_S14 15467	3264517	55517	2731573	5509	431937	1318	0.132842	11250636
 II_MF_4_S11 13625	348409	553	7188805	6418	25475	72	0.08075	2270693
