sample_num,sample_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
12,B10_S22,59940,74949,99006,99214,97138,87003,73946,60778,48382,37908,28626,21660,16168,12019,9018,6911,5238,4227,3364,2890,2366,2109,1822,1595,1470,1377,1166,1144,1103,961,935,830,787,774,769,701,650,617,589,572,539,533,525,472,450,443,431,421,379,371,361,361,312,327,279,285,250,237,240,244,243,182,212,198,205,198,179,153,135,142,142,114,119,128,97,125,99,88,94,98,84,88,90,70,65,82,73,70,74,62,50,48,58,54,38,60,54,50,37,30,2302
13,B11_S23,69229,83367,105683,103701,99027,86152,73293,59004,46072,35707,27210,20440,15044,11455,8509,6509,4833,3846,2934,2386,2081,1606,1324,1134,1038,911,734,661,593,565,473,436,409,395,370,321,300,278,266,236,232,225,196,205,169,175,159,148,153,136,143,122,116,118,101,90,103,95,108,87,80,82,85,82,79,75,66,77,63,76,66,55,66,55,62,49,48,57,51,42,45,43,43,46,48,37,31,34,26,28,26,28,18,19,22,25,21,28,21,21,1333
14,B12_S24,24693,37544,54753,63820,70629,72973,71895,67554,62198,55372,48449,41942,35617,29482,24384,19799,15928,12776,10240,8285,6599,5450,4404,3587,2965,2565,2127,1865,1654,1501,1265,1135,1018,940,840,807,709,643,621,543,492,498,437,426,396,367,360,319,308,299,251,248,252,213,183,216,179,191,170,192,186,158,163,127,169,165,148,146,138,141,125,117,123,140,119,103,122,105,106,92,100,95,102,100,91,74,91,86,81,91,83,72,72,70,71,81,71,80,70,68,4762
15,B1_S13,19182,27160,42545,51118,59075,62280,63764,62849,60017,55946,51282,45482,40268,35065,29992,25612,21855,17838,15071,12446,10334,8684,7277,6042,5024,4059,3508,3035,2542,2207,1949,1696,1507,1390,1252,1155,1032,969,865,808,738,687,573,602,564,451,442,469,437,420,358,381,364,329,352,281,270,261,246,242,224,205,194,190,180,179,165,166,162,147,149,132,121,129,128,139,115,137,113,115,97,89,107,94,79,98,92,86,86,71,89,94,79,90,64,80,75,59,81,71,7252
16,B2_S14,75159,86443,112032,107583,101606,86655,72017,56982,43817,33028,24348,17577,12741,9445,6799,5187,3937,3216,2509,2008,1671,1377,1242,1071,935,843,747,670,587,534,474,462,407,392,363,287,299,274,233,248,234,240,206,180,182,175,174,174,165,186,173,173,158,136,148,130,124,129,120,124,113,115,94,96,82,114,89,77,90,77,69,74,62,68,75,66,66,50,58,35,60,52,39,50,45,41,44,42,47,38,35,43,39,28,30,25,21,22,23,34,2808
17,B3_S15,91788,93295,117867,108101,100117,83502,67953,52358,39798,29415,21946,15997,11647,8405,6420,4953,3757,3121,2500,2068,1864,1531,1381,1101,994,899,804,688,642,546,556,473,449,370,380,323,333,299,242,229,235,227,202,212,181,165,167,150,157,124,134,134,106,109,125,92,97,105,107,76,85,70,75,80,69,83,64,65,83,50,55,49,68,55,50,47,43,27,41,36,36,20,18,27,22,16,26,22,17,22,18,21,27,23,22,21,19,19,17,21,1026
18,B4_S16,6110,4914,7383,9660,12295,14966,17709,20194,22492,24509,26080,28137,29043,30264,30900,31108,31184,30897,30411,29960,28893,28224,27030,25874,24680,22951,21917,20614,19181,17866,16495,15530,14183,13041,11744,10967,9862,8887,8021,7288,6455,5977,5264,4801,4370,3931,3446,3132,2907,2647,2296,2112,1975,1783,1674,1526,1403,1294,1236,1159,1034,961,919,826,805,755,765,717,720,644,590,660,592,540,541,547,491,494,476,439,425,398,391,400,377,374,358,340,324,317,365,293,278,270,295,235,263,243,205,232,13921
19,B5_S17,93606,86994,113697,103054,97967,82605,68951,55119,42749,32730,24331,18215,13250,9969,7253,5508,4271,3212,2562,2031,1661,1423,1169,977,798,734,669,565,560,438,409,405,367,277,270,255,261,240,213,210,211,188,167,164,164,146,132,130,103,114,86,94,101,97,92,90,63,97,68,69,77,65,43,46,50,47,55,61,54,49,33,38,36,31,41,35,27,28,21,30,26,17,31,17,16,21,28,17,17,20,21,19,23,18,25,13,18,16,14,11,1066
20,B6_S18,25681,28088,41933,50357,58124,62977,65178,64114,61036,57399,52224,46320,40800,35140,29900,25241,20685,17087,14064,11747,9513,7905,6479,5512,4636,3812,3122,2772,2401,2094,2003,1654,1547,1286,1223,1081,984,909,790,776,674,683,635,584,514,495,461,431,400,374,351,375,308,282,270,258,236,225,212,208,230,176,196,187,155,145,168,165,110,135,130,108,122,122,118,100,108,92,101,106,77,122,99,82,92,82,79,91,103,75,77,84,69,66,62,66,59,52,65,74,3752
21,B7_S19,79529,86024,116986,108038,103547,86415,70914,55183,42381,31032,22888,16456,11993,8613,6412,4757,3696,2814,2408,1883,1664,1416,1219,1030,893,784,656,703,607,538,476,437,406,348,356,312,287,268,289,240,233,202,198,203,192,165,143,150,173,156,150,117,134,142,141,112,102,107,119,110,99,104,88,106,103,88,89,89,68,83,73,61,63,56,67,55,55,67,58,48,52,53,55,55,29,41,40,42,39,41,35,37,28,41,31,27,31,23,32,34,4439
